#{"t_start": 1753906836.8329315, "env_id": "None"}
r,l,t
51.063536,50,5.618171
396.206844,50,6.188175
78.245923,50,6.420762
672.928614,50,6.670758
314.992829,50,6.822764
587.079498,50,6.977758
443.400641,50,7.128757
307.723239,50,7.287761
476.37891,50,7.427766
498.209498,50,7.577757
642.30398,50,7.765757
490.807969,50,7.914757
573.412681,50,8.101758
712.608927,50,8.276766
417.309558,50,8.441761
575.18035,50,8.609764
616.172874,50,8.786516
759.631988,50,8.937516
224.083728,50,9.105516
516.282866,50,9.295514
411.189057,50,9.493514
360.642163,50,9.725519
392.843587,50,9.93252
416.133181,50,10.176514
437.228005,50,10.341517
317.600118,50,10.50335
248.365989,50,10.679347
418.134183,50,11.222345
655.402414,50,11.781402
439.366681,50,12.259399
679.81074,50,13.433402
647.295143,50,13.706402
669.63468,50,13.884397
590.908276,50,14.036396
640.338911,50,14.214397
695.693533,50,14.375398
642.989654,50,14.542917
439.084976,50,14.720921
644.241335,50,14.881948
312.96037,50,15.036923
399.143999,50,15.213917
368.070171,50,15.371922
647.313287,50,15.532919
979.756163,50,15.706919
657.68536,50,15.88492
501.29625,50,16.045923
281.374048,50,16.218921
479.942861,50,16.385924
833.055115,50,16.550921
638.031993,50,16.744918
473.849275,50,16.896919
762.397557,50,17.060919
303.394787,50,17.25493
455.701104,50,17.454924
487.116608,50,17.626918
563.988303,50,17.794961
600.230376,50,17.95092
411.880607,50,18.116919
601.783301,50,18.28793
490.41087,50,18.444925
346.502955,50,18.600923
551.815334,50,18.772919
347.316879,50,18.92892
501.602314,50,19.091922
522.1718,50,19.272927
407.661922,50,19.429922
506.340703,50,19.591924
595.125779,50,19.774924
451.740128,50,19.930922
769.617326,50,20.093581
347.667966,50,20.267581
711.365723,50,20.43261
496.671407,50,20.596579
429.999632,50,20.768579
385.456029,50,20.923584
390.440539,50,21.080615
528.890684,50,21.27558
490.104752,50,21.440585
279.383115,50,21.598586
366.722266,50,21.769582
823.91683,50,21.922588
469.296765,50,22.077579
889.005627,50,22.252583
554.085326,50,22.424582
734.0295,50,22.579579
868.067786,50,22.763589
564.979642,50,22.920579
