#{"t_start": 1753905059.3717554, "env_id": "None"}
r,l,t
136.564873,50,25.011417
234.310255,50,25.099914
314.687654,50,25.213181
342.015526,50,25.27777
273.9673,50,25.325353
31.5,50,25.379949
275.176033,50,25.43117
344.146314,50,25.483546
177.985034,50,25.539635
174.538494,50,25.600749
482.502494,50,25.663747
208.367536,50,25.72883
190.967627,50,25.785833
139.5,50,25.835828
167.488541,50,25.898839
120.380086,50,25.959849
55.0,50,26.013927
158.947561,50,26.070915
189.576546,50,26.12692
177.3873,50,26.185917
218.572178,50,26.230927
207.158274,50,26.27792
181.6169,50,26.328006
291.163106,50,26.375007
253.138092,50,26.430011
199.253892,50,26.482007
157.8552,50,26.535009
138.844529,50,26.580011
241.176867,50,26.638058
207.50259,50,26.694271
157.259081,50,26.750272
197.447041,50,26.811279
225.014021,50,26.875277
106.959355,50,26.935273
141.734395,50,27.010277
303.821597,50,27.077279
283.239618,50,27.134273
163.461209,50,27.208509
203.898159,50,27.26551
218.487179,50,27.31651
392.068673,50,27.392502
222.272097,50,27.448512
140.229698,50,27.503507
309.681731,50,27.557507
90.387739,50,27.609509
135.407272,50,27.681511
147.865298,50,27.734504
122.8,50,27.821506
227.380947,50,27.9234
331.402487,50,28.060602
219.745272,50,28.223373
108.5,50,28.308581
160.219084,50,28.411612
223.61677,50,28.491694
90.39868,50,28.538428
298.475759,50,28.584743
167.582187,50,28.627601
152.186078,50,28.698589
153.422317,50,28.808703
53.8,50,28.899212
40.5,50,28.949151
103.786806,50,28.988503
273.982583,50,29.040004
345.565578,50,29.107903
250.614194,50,29.158991
243.034344,50,29.219293
96.405326,50,29.273728
112.812282,50,29.316128
291.678506,50,29.37507
283.259631,50,29.435733
116.856994,50,29.475593
98.2,50,29.532211
47.0,50,29.588042
432.415115,50,29.661194
64.873421,50,29.713741
277.723416,50,29.772459
195.752617,50,29.841079
41.7,50,29.892389
106.427229,50,29.956001
175.057199,50,30.014686
196.724831,50,30.184332
203.951108,50,30.298894
153.50362,50,30.435095
102.820306,50,30.494539
496.986563,50,30.559219
273.100928,50,30.622533
207.554295,50,30.67855
204.78162,50,30.734699
125.374108,50,30.800989
273.827499,50,30.850503
255.792584,50,30.9082
203.873992,50,30.944787
93.867505,50,30.992218
76.0813,50,31.040278
113.1,50,31.073463
145.971946,50,31.105855
205.330776,50,31.139199
144.807899,50,31.175265
262.19137,50,31.232189
228.816409,50,31.309619
1.553717,50,31.821816
-120.9,50,32.10878
-102.1,50,32.378552
-62.5,50,32.626493
-21.482147,50,32.893009
126.69547,50,33.13108
396.533487,50,33.473721
349.927205,50,33.810804
507.077044,50,34.287732
232.134585,50,34.544806
25.245188,50,34.771854
335.958463,50,34.999862
72.514956,50,35.262908
753.306273,50,35.501927
254.08095,50,35.741915
591.711861,50,35.977918
431.04523,50,36.240919
330.970996,50,36.466365
321.056078,50,36.703427
655.893146,50,36.915568
542.869642,50,37.192572
295.885384,50,37.428575
526.510744,50,37.667571
237.863595,50,37.905954
467.069634,50,38.176199
565.322627,50,38.430209
490.317483,50,38.800662
504.704888,50,39.298669
516.828691,50,39.627215
420.932451,50,40.216118
602.184028,50,40.916415
623.291206,50,41.416451
336.316436,50,42.011157
808.395011,50,42.489386
308.654886,50,42.859021
443.898363,50,43.223413
583.203598,50,43.350466
499.031736,50,43.487588
775.972677,50,43.595832
810.116071,50,43.724982
897.798188,50,43.851971
691.594922,50,43.989355
434.286637,50,44.107568
625.965938,50,44.225472
614.812178,50,44.356503
381.788512,50,44.465473
503.072907,50,44.583467
622.145721,50,44.695468
518.12279,50,44.821887
608.417896,50,45.179562
512.378217,50,45.327588
225.612584,50,45.43879
387.408116,50,45.557941
502.09933,50,45.665661
194.611391,50,45.775261
540.881028,50,45.994459
485.442698,50,46.196283
608.669237,50,46.396858
590.010774,50,46.579973
586.867632,50,46.702622
417.393036,50,46.841735
507.067478,50,46.95999
576.771479,50,47.08309
784.168958,50,47.203091
587.89918,50,47.334623
770.119117,50,47.447657
129.678353,50,47.56849
478.208583,50,47.677539
441.90277,50,47.808241
580.096558,50,47.924242
489.218266,50,48.03301
353.650299,50,48.153004
512.367376,50,48.288412
596.702595,50,48.450414
577.473633,50,48.591945
423.395508,50,48.706544
492.886848,50,48.831546
618.332593,50,48.951542
489.731654,50,49.066282
385.669276,50,49.185694
270.623455,50,49.307696
522.469763,50,49.419726
771.985556,50,49.53975
618.002537,50,49.647718
424.514129,50,49.77894
793.376329,50,49.891941
507.44487,50,50.007945
436.24874,50,50.135854
588.821854,50,50.273001
524.091627,50,50.378998
503.361372,50,50.492128
435.085621,50,50.616065
654.698916,50,50.743105
268.662134,50,50.858203
423.886319,50,50.980329
689.922492,50,51.09931
573.289362,50,51.226361
1002.415238,50,51.377706
611.886601,50,51.504813
512.941483,50,51.616447
706.48676,50,51.762008
514.982759,50,51.886011
780.155954,50,52.013005
426.949323,50,52.131007
271.929717,50,52.288909
444.741659,50,52.470512
295.945383,50,52.605164
352.806816,50,52.744297
433.184676,50,52.899292
692.477444,50,53.016342
716.076026,50,53.162399
148.277709,50,53.289393
836.716849,50,53.441131
284.611775,50,53.606492
701.140611,50,53.737115
666.871761,50,53.854573
600.498396,50,53.99058
582.320366,50,54.124787
522.991939,50,54.245796
588.332956,50,54.365017
409.001636,50,54.515106
346.493202,50,54.862727
119.9,50,54.97527
588.366679,50,55.143158
345.829385,50,55.582267
404.354442,50,55.702465
261.777572,50,55.815255
708.889037,50,55.929507
793.104271,50,56.067755
424.798363,50,56.188107
406.865756,50,56.321172
252.447287,50,56.435659
354.695006,50,56.56829
444.123711,50,56.685356
537.108148,50,56.815357
439.481913,50,56.939358
577.663234,50,57.071416
268.898653,50,57.180416
438.434998,50,57.292419
194.678017,50,57.406418
685.656426,50,57.5442
612.358449,50,57.658275
609.89312,50,57.768275
436.743802,50,57.878267
202.6,50,58.006534
239.693044,50,58.121525
598.569566,50,58.231525
387.533768,50,58.348531
488.099577,50,58.486525
580.8206,50,58.609663
358.68214,50,58.741777
341.720634,50,58.863741
241.49696,50,59.002007
432.68407,50,59.128129
592.431341,50,59.238122
244.294164,50,59.344129
276.752933,50,59.476123
428.718285,50,59.590122
364.989726,50,59.704418
282.323723,50,59.813418
466.449632,50,59.978794
696.533926,50,60.092794
335.159826,50,60.203799
436.05072,50,60.3188
424.088316,50,60.452336
385.581091,50,60.556953
370.729619,50,60.69097
260.3,50,60.822195
401.498846,50,60.939161
370.434668,50,61.053303
283.997392,50,61.173856
447.682784,50,61.276999
258.261181,50,61.402904
367.463172,50,61.520243
614.529921,50,61.623709
321.072573,50,61.73778
426.234822,50,61.861819
547.943374,50,61.968826
741.81949,50,62.334477
404.315094,50,62.439144
649.148254,50,62.606791
248.3,50,62.726345
329.038766,50,62.856736
420.244503,50,62.978735
324.858694,50,63.108765
337.732298,50,63.224733
218.2,50,63.339729
437.148115,50,63.454733
562.199286,50,63.583731
620.140408,50,63.719756
478.608236,50,63.863761
438.5878,50,64.009818
431.445133,50,64.179949
284.582368,50,64.304101
601.923877,50,64.428141
200.1,50,64.54314
450.143046,50,64.668144
215.1,50,64.78414
623.404677,50,64.912187
607.362465,50,65.01718
317.268735,50,65.141184
267.903283,50,65.245879
290.26303,50,65.361027
553.726108,50,65.476804
342.182355,50,65.61655
422.034979,50,65.73438
625.060268,50,65.861018
548.553502,50,65.988018
384.257789,50,66.101017
491.059632,50,66.215019
289.024,50,66.327022
352.986719,50,66.43711
206.1,50,66.563158
504.671981,50,66.685688
353.501053,50,66.799758
533.134815,50,66.912765
309.893866,50,67.034967
452.477956,50,67.14697
559.80574,50,67.249968
479.078165,50,67.358046
292.184301,50,67.493048
411.852853,50,67.600046
237.2,50,67.710158
341.850429,50,67.826161
591.951228,50,67.956166
224.7,50,68.068425
357.044993,50,68.201655
387.394709,50,68.306656
388.906886,50,68.434701
265.6,50,68.556824
514.702879,50,68.702794
608.151653,50,68.847817
217.8,50,68.97282
587.862472,50,69.091817
248.7,50,69.20586
282.513443,50,69.316867
413.535655,50,69.447735
367.481846,50,69.575428
260.3,50,69.688038
377.465181,50,69.796395
335.688801,50,69.930493
230.386721,50,70.061355
513.140442,50,70.182878
258.754378,50,70.289116
419.009718,50,70.416115
274.207698,50,70.534123
381.314164,50,70.641117
229.699291,50,70.756158
399.649442,50,70.887716
152.1,50,71.001752
213.5,50,71.113765
448.762017,50,71.232973
628.704444,50,71.355968
511.7793,50,71.462099
505.367935,50,71.5871
246.6,50,71.702858
257.2,50,71.825955
330.843662,50,71.937803
207.836606,50,72.044414
566.261066,50,72.160796
174.7,50,72.286666
326.622709,50,72.408345
315.694518,50,72.517908
633.160937,50,72.631446
216.287155,50,72.785219
146.682572,50,72.90356
357.164256,50,73.023557
230.7,50,73.137553
167.7,50,73.259237
417.325119,50,73.377235
261.0,50,73.501168
336.151297,50,73.616439
521.382811,50,73.743805
438.199933,50,73.862532
276.14764,50,73.996578
209.3,50,74.11296
292.973815,50,74.246784
84.8,50,74.360449
213.2,50,74.489228
212.5,50,74.616516
317.279465,50,74.744168
725.06034,50,74.866196
393.715689,50,74.981983
326.736521,50,75.10785
685.558865,50,75.237391
178.5,50,75.352405
589.303916,50,75.480401
440.640146,50,75.5914
222.7,50,75.723399
313.417218,50,75.849402
235.5,50,75.975405
472.219646,50,76.087405
284.485667,50,76.220399
264.8,50,76.323216
238.7,50,76.435214
335.287145,50,76.548256
454.109199,50,76.673255
