#{"t_start": 1753906013.745462, "env_id": "None"}
r,l,t
164.46,50,3.011653
32.4,50,3.081651
255.152379,50,3.148653
247.014,50,3.220653
287.120678,50,3.302649
100.4,50,3.376648
197.95737,50,3.453655
202.984707,50,3.538651
85.1,50,3.604653
185.613975,50,3.673654
236.517406,50,3.744652
154.82689,50,3.813648
353.204409,50,3.882651
163.638713,50,3.951659
249.893893,50,4.018652
158.778486,50,4.082657
273.687685,50,4.151658
396.07072,50,4.22665
81.815513,50,4.291651
152.197826,50,4.362681
8.4,50,4.438654
210.865734,50,4.701651
189.437927,50,4.77465
146.968195,50,4.840649
212.548314,50,4.90265
105.674424,50,4.968648
326.127491,50,5.043657
78.877027,50,5.111649
140.545565,50,5.174657
185.231628,50,5.240648
188.775828,50,5.313658
157.721521,50,5.37766
108.468112,50,5.448659
174.552789,50,5.527662
160.460186,50,5.59866
215.838738,50,5.663661
303.504309,50,5.726665
197.154176,50,5.792659
181.775542,50,5.871658
167.792995,50,5.940656
14.554895,50,8.393662
244.045066,50,8.463667
133.060935,50,8.531667
259.710936,50,8.595665
134.472094,50,8.660657
334.670728,50,8.728661
127.872803,50,8.792662
206.883007,50,8.860659
163.442114,50,8.929659
156.970493,50,8.995666
140.131202,50,9.072659
309.757471,50,9.139661
153.044435,50,9.211659
359.758822,50,9.28466
284.787463,50,9.353659
108.544737,50,9.41868
185.594122,50,9.486661
395.496529,50,9.559659
145.726641,50,9.626657
206.840316,50,9.692662
41.3,50,9.759668
290.893616,50,9.832659
264.335254,50,9.902658
243.307963,50,9.969657
128.88,50,10.040659
220.039788,50,10.111661
285.557194,50,10.182659
107.6,50,10.249661
49.1,50,10.313667
390.797353,50,10.385666
124.980584,50,10.453666
291.922933,50,10.519666
122.880267,50,10.58766
340.715469,50,10.659657
279.638865,50,10.731663
146.699001,50,10.798661
167.763332,50,10.86867
191.732826,50,10.941661
177.478979,50,11.00966
280.772007,50,11.077661
151.320753,50,11.150662
173.5,50,13.413714
454.133188,50,13.481713
191.300989,50,13.558712
266.49543,50,13.62972
284.327168,50,13.694713
290.420028,50,13.764715
155.528666,50,13.829719
280.557125,50,13.905714
274.703863,50,13.973716
240.412198,50,14.040711
163.236732,50,14.112715
297.01575,50,14.174715
421.681278,50,14.251718
259.477362,50,14.316715
110.185022,50,14.389714
303.394084,50,14.457715
621.847855,50,14.534713
137.020024,50,14.605717
100.184779,50,14.672721
323.721143,50,14.743714
466.83941,50,14.815715
233.601997,50,14.891719
264.155705,50,14.967717
198.408429,50,15.03372
285.545112,50,15.099716
208.260978,50,15.170716
326.886993,50,15.237714
172.861922,50,15.303712
269.002404,50,15.375721
345.007725,50,15.446714
233.280089,50,15.516715
314.908403,50,15.586714
90.604,50,15.658715
122.87464,50,15.725714
272.578721,50,15.793721
212.013966,50,15.856722
141.886902,50,15.928722
215.374584,50,15.998716
154.872883,50,16.068713
573.495681,50,16.141718
216.262842,50,16.214717
117.035044,50,18.489713
475.950548,50,18.567714
226.320605,50,18.638713
219.380555,50,18.716713
321.994466,50,18.787712
134.04957,50,18.856717
229.646305,50,18.926713
210.175629,50,18.993715
343.142681,50,19.061714
230.693646,50,19.123714
319.29701,50,19.195713
483.437218,50,19.271714
390.395134,50,19.339714
469.984698,50,19.408715
164.717774,50,19.474714
501.508676,50,19.547715
371.900651,50,19.620713
369.289304,50,19.685715
180.361228,50,19.757749
268.602041,50,19.823715
